               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022047,            0.024103,          0.00079416,             0.94133,              0.9554,             0.96891,             0.87643,           0.0096695,            0.013576,          0.00027133,             0.00895,             0.00895,             0.00895
                  37,             0.02182,            0.023939,          0.00074656,             0.94877,             0.95667,              0.9702,             0.88087,           0.0097914,             0.01351,          0.00031029,             0.00892,             0.00892,             0.00892
                  38,            0.021893,            0.023959,          0.00078723,             0.95591,             0.95441,             0.97728,             0.89363,           0.0094931,            0.013222,           0.0002827,             0.00889,             0.00889,             0.00889
                  39,            0.022081,            0.023828,          0.00081437,             0.95463,             0.95598,             0.97659,             0.88545,           0.0099875,            0.013619,          0.00026138,             0.00886,             0.00886,             0.00886
                  40,            0.021977,             0.02357,          0.00079877,             0.94778,              0.9598,             0.97447,              0.8832,           0.0097155,            0.013533,          0.00028981,             0.00883,             0.00883,             0.00883
                  41,            0.021758,             0.02379,          0.00077218,             0.94188,             0.95323,             0.97176,             0.88187,           0.0098378,            0.013529,          0.00029492,              0.0088,              0.0088,              0.0088
                  42,            0.022019,            0.023969,          0.00076479,             0.94729,             0.95866,             0.97203,             0.88339,           0.0099147,            0.013386,          0.00028026,             0.00877,             0.00877,             0.00877
                  43,            0.021484,             0.02347,          0.00078367,             0.94282,             0.96341,             0.97284,             0.88512,           0.0095002,            0.013051,          0.00026713,             0.00874,             0.00874,             0.00874
                  44,            0.021764,            0.023784,          0.00078811,             0.94496,             0.96143,             0.97697,             0.89179,           0.0094343,            0.013138,          0.00022446,             0.00871,             0.00871,             0.00871
                  45,            0.021419,            0.023392,          0.00076306,             0.94696,             0.95677,             0.96487,             0.88331,           0.0094989,            0.013364,          0.00023845,             0.00868,             0.00868,             0.00868
                  46,            0.021994,            0.023921,          0.00079345,             0.94714,             0.95793,             0.97408,             0.88804,           0.0095029,            0.013387,          0.00025171,             0.00865,             0.00865,             0.00865
                  47,            0.021238,             0.02338,          0.00076159,             0.95149,              0.9603,             0.97361,             0.89155,           0.0093666,            0.013342,          0.00025506,             0.00862,             0.00862,             0.00862
                  48,            0.021392,            0.023279,          0.00072043,             0.94693,             0.96335,             0.97266,             0.88592,           0.0093309,            0.013198,          0.00027936,             0.00859,             0.00859,             0.00859
                  49,            0.021285,            0.023194,          0.00073308,             0.94749,             0.95604,               0.969,             0.88235,           0.0093028,            0.013297,          0.00022565,             0.00856,             0.00856,             0.00856
                  50,            0.020992,            0.022934,          0.00073695,             0.94332,             0.96153,               0.972,             0.89011,           0.0092905,            0.013234,          0.00024178,             0.00853,             0.00853,             0.00853
                  51,            0.021206,            0.023042,          0.00075058,             0.95288,             0.95957,             0.97406,             0.89211,            0.009192,             0.01299,          0.00026406,              0.0085,              0.0085,              0.0085
                  52,            0.021183,            0.022947,          0.00076383,             0.96236,             0.96439,             0.97755,             0.89449,           0.0090096,            0.012963,           0.0002434,             0.00847,             0.00847,             0.00847
                  53,            0.021028,            0.023187,          0.00074724,             0.96537,             0.96294,             0.97866,             0.89883,           0.0091688,            0.012873,          0.00025934,             0.00844,             0.00844,             0.00844
                  54,            0.021179,            0.022813,          0.00073589,             0.95299,             0.96092,             0.97577,             0.89667,           0.0090247,            0.012871,           0.0002526,             0.00841,             0.00841,             0.00841
                  55,            0.021079,             0.02292,          0.00078343,             0.95813,             0.96447,             0.97846,             0.89812,           0.0091977,            0.012837,          0.00024441,             0.00838,             0.00838,             0.00838
                  56,            0.020988,            0.022706,          0.00073715,             0.95606,              0.9582,             0.97654,             0.89721,           0.0091977,            0.012953,          0.00025515,             0.00835,             0.00835,             0.00835
                  57,            0.020561,            0.022944,          0.00073637,             0.95887,             0.95617,              0.9755,             0.89751,           0.0091599,            0.012906,          0.00027017,             0.00832,             0.00832,             0.00832
                  58,            0.020715,            0.022811,          0.00075717,             0.95254,             0.95829,             0.97409,             0.89337,           0.0093052,            0.013042,          0.00023451,             0.00829,             0.00829,             0.00829
                  59,            0.020721,            0.022645,          0.00071742,             0.95645,              0.9591,             0.97612,             0.89641,           0.0091064,            0.012798,           0.0002204,             0.00826,             0.00826,             0.00826
                  60,            0.020618,            0.022668,          0.00073711,              0.9576,             0.96263,             0.97699,             0.89986,           0.0089742,            0.012794,          0.00022024,             0.00823,             0.00823,             0.00823
                  61,            0.020781,            0.022843,          0.00077368,             0.96291,             0.95284,             0.97511,             0.89942,           0.0090631,            0.012868,          0.00022192,              0.0082,              0.0082,              0.0082
                  62,            0.020708,            0.022586,          0.00075727,              0.9628,             0.95476,             0.97624,             0.89443,           0.0091462,            0.013026,          0.00025768,             0.00817,             0.00817,             0.00817
                  63,            0.020601,            0.022753,          0.00074085,             0.95277,             0.96187,             0.97434,             0.89798,           0.0090368,            0.012899,          0.00024556,             0.00814,             0.00814,             0.00814
                  64,            0.020304,            0.022558,          0.00072569,             0.95191,             0.96702,             0.97458,              0.9027,            0.008815,            0.012598,          0.00023086,             0.00811,             0.00811,             0.00811
                  65,            0.020456,            0.022345,          0.00073747,             0.94552,             0.96429,             0.97268,             0.89701,           0.0090054,            0.012759,          0.00021093,             0.00808,             0.00808,             0.00808
                  66,            0.020759,            0.022463,          0.00071582,             0.94617,             0.96873,             0.97275,             0.89837,           0.0088688,            0.012685,          0.00021609,             0.00805,             0.00805,             0.00805
                  67,            0.020464,             0.02251,          0.00073317,             0.95882,             0.95936,             0.97463,             0.90006,           0.0088188,            0.012668,          0.00021028,             0.00802,             0.00802,             0.00802
                  68,            0.020711,            0.022686,          0.00072675,             0.95771,             0.95593,             0.97588,             0.90305,           0.0088585,            0.012792,          0.00021734,             0.00799,             0.00799,             0.00799
                  69,            0.020569,            0.022546,          0.00069061,             0.95662,             0.96147,              0.9754,             0.90321,           0.0086999,            0.012648,          0.00019965,             0.00796,             0.00796,             0.00796
                  70,            0.020215,            0.022361,          0.00069335,             0.95625,             0.95576,             0.97666,             0.90173,           0.0086865,            0.012604,          0.00021487,             0.00793,             0.00793,             0.00793
                  71,            0.020732,            0.022384,           0.0007228,             0.95483,             0.96114,             0.97805,             0.90083,           0.0085817,            0.012572,          0.00021054,              0.0079,              0.0079,              0.0079
                  72,            0.020539,            0.022617,           0.0007438,             0.96008,             0.96289,             0.97649,             0.90475,           0.0085867,             0.01257,          0.00020398,             0.00787,             0.00787,             0.00787
                  73,            0.020398,            0.022274,          0.00070234,             0.95087,             0.97207,             0.97616,             0.90447,           0.0085574,            0.012522,          0.00020944,             0.00784,             0.00784,             0.00784
                  74,            0.020043,            0.022029,          0.00070571,             0.95994,             0.96049,              0.9751,             0.90257,           0.0086058,            0.012571,          0.00021685,             0.00781,             0.00781,             0.00781
                  75,            0.020419,            0.022337,           0.0007147,              0.9588,             0.95793,             0.97446,             0.90206,            0.008611,            0.012567,          0.00022818,             0.00778,             0.00778,             0.00778
                  76,            0.019989,            0.021986,           0.0007146,             0.96123,             0.95668,             0.97646,             0.90498,            0.008655,            0.012566,          0.00021148,             0.00775,             0.00775,             0.00775
                  77,            0.020184,            0.022341,          0.00069098,             0.95847,             0.96336,             0.97897,             0.90515,           0.0087303,            0.012505,          0.00020931,             0.00772,             0.00772,             0.00772
                  78,            0.020025,            0.022274,          0.00070416,             0.95786,             0.96754,              0.9791,             0.90853,           0.0085678,            0.012383,           0.0001934,             0.00769,             0.00769,             0.00769
                  79,            0.019744,            0.022149,          0.00067946,             0.95804,             0.96209,              0.9769,             0.90768,           0.0085498,            0.012456,          0.00020146,             0.00766,             0.00766,             0.00766
                  80,            0.019969,            0.022169,          0.00066887,             0.95833,             0.96606,             0.97687,             0.90656,           0.0086223,            0.012466,          0.00020133,             0.00763,             0.00763,             0.00763
                  81,            0.019838,             0.02175,          0.00068516,             0.95864,             0.96347,             0.97692,             0.90703,           0.0084711,            0.012391,           0.0002101,              0.0076,              0.0076,              0.0076
                  82,            0.020173,             0.02201,          0.00066626,              0.9618,              0.9617,              0.9778,             0.90923,           0.0084334,            0.012338,          0.00020591,             0.00757,             0.00757,             0.00757
                  83,            0.019849,            0.022105,          0.00067811,             0.95847,             0.96264,             0.97796,             0.90948,           0.0084344,            0.012383,          0.00021682,             0.00754,             0.00754,             0.00754
                  84,            0.020047,            0.021848,            0.000685,             0.96442,             0.96165,             0.97915,              0.9111,           0.0083164,            0.012279,          0.00020995,             0.00751,             0.00751,             0.00751
                  85,            0.019766,            0.021799,          0.00072836,              0.9638,             0.96591,             0.97928,             0.91205,           0.0082613,            0.012163,          0.00019954,             0.00748,             0.00748,             0.00748
